return_id,sale_id,product_id,product_name,category,store_id,customer_id,purchase_date,return_request_date,return_received_date,return_reason,reason_category,quantity_returned,unit_price,refund_amount,refund_method,return_channel,condition_on_return,rma_number,rma_status,supplier_id,supplier_name,is_supplier_defect,complaint_severity,customer_satisfaction_score,sla_days,actual_resolution_days,sla_breached,resolution_type,agent_notes
RET-001,1024,101,Wireless Bluetooth Headphones,Electronics,5,CUST-0442,2025-01-10,2025-01-18,2025-01-22,Bluetooth range under 5 meters instead of advertised 10m,Product Defect,1,29.99,29.99,Original Payment,Online,Defective,RMA-2025-0001,Closed,1,GlobalTech Components,Yes,High,2,7,4,No,Full Refund,Known batch issue BT-2024-Q4. Customer reported range drops after 3 meters. Linked to GlobalTech quality alert. Forwarded to supplier quality team.
RET-002,1056,102,USB-C Charging Cable 2m,Electronics,12,CUST-0187,2025-01-15,2025-01-16,2025-01-20,Cable overheating during fast charging,Safety Issue,2,9.99,19.98,Original Payment,In-Store,Defective,RMA-2025-0002,Closed,1,GlobalTech Components,Yes,Critical,1,3,1,No,Full Refund + Recall,SAFETY RECALL triggered. Customer reported cable melting at connector. Pulled all units from batch. GlobalTech issued voluntary recall for USB-C cables manufactured Oct 2024.
RET-003,1102,112,Memory Foam Pillow,Home & Kitchen,3,CUST-0891,2025-01-20,2025-02-05,2025-02-10,Chemical smell did not dissipate after 2 weeks,Product Quality,1,24.99,24.99,Store Credit,Online,Used - Acceptable,RMA-2025-0003,Closed,3,AmeriParts Inc.,No,Medium,3,7,5,No,Full Refund,Customer followed off-gassing instructions but smell persisted. Not a batch-wide issue - isolated complaint. Offered store credit as goodwill.
RET-004,1150,118,Running Shoes Mens,Sports & Fitness,8,CUST-0334,2025-02-01,2025-02-03,2025-02-08,Sole separating after 3 days of use,Product Defect,1,79.99,79.99,Original Payment,In-Store,Defective,RMA-2025-0004,Closed,7,Shenzhen Fast Supply,Yes,High,2,7,5,No,Full Refund + Replacement,Adhesive failure on sole. Third quality issue from Shenzhen Fast Supply this quarter. Escalated to supplier relationship manager. Customer received free replacement pair from new batch.
RET-005,1198,147,Ergonomic Mouse Pad,Office Supplies,15,CUST-0562,2025-02-10,2025-02-14,2025-02-19,Gel wrist rest delaminating after 1 week,Product Defect,1,12.99,12.99,Original Payment,Online,Defective,RMA-2025-0005,Closed,7,Shenzhen Fast Supply,Yes,Medium,3,7,5,No,Full Refund,Known defect - adhesive supplier change caused delamination in ~8% of units. Shenzhen Fast Supply acknowledged and reverting adhesive. Batch pulled from inventory.
RET-006,1230,110,Smart Fitness Tracker,Electronics,1,CUST-0723,2025-02-15,2025-02-18,2025-02-25,Heart rate monitor inaccurate readings during exercise,Product Defect,1,59.99,59.99,Original Payment,Online,Defective,RMA-2025-0006,Closed,19,Taiwan Precision Corp,Yes,High,2,7,7,No,Replacement,Sensor calibration issue identified. Taiwan Precision Corp sent firmware update within 48hrs. Customer opted for replacement with updated firmware pre-installed.
RET-007,1275,107,Premium Yoga Mat,Sports & Fitness,22,CUST-0145,2025-02-20,2025-03-01,null,Wrong color received - ordered blue got grey,Fulfillment Error,1,34.99,34.99,Original Payment,Online,New - Unopened,RMA-2025-0007,Awaiting Return,11,Mumbai Textiles Ltd,No,Low,4,10,null,No,Replacement,Warehouse picking error at Midwest Fulfillment Center. Correct item shipped immediately. Customer keeping wrong color until replacement arrives.
RET-008,1310,144,Dried Fruit Mix 1kg,Food & Beverage,6,CUST-0478,2025-03-01,2025-03-02,2025-03-03,Package arrived torn and product exposed,Shipping Damage,1,16.99,16.99,Original Payment,In-Store,Damaged,RMA-2025-0008,Closed,16,Casablanca Imports,No,Medium,3,3,1,No,Full Refund,Packaging integrity compromised during transit. FedEx claim filed. Casablanca Imports packaging quality flagged - third incident this quarter.
RET-009,1342,132,Outdoor Solar Lights 6pk,Home & Garden,19,CUST-0256,2025-03-05,2025-03-15,2025-03-20,Only 2 of 6 lights working after first charge,Product Defect,1,29.99,29.99,Original Payment,Online,Defective,RMA-2025-0009,Closed,7,Shenzhen Fast Supply,Yes,High,1,7,5,No,Full Refund,Photovoltaic cell defect. 4 of 6 units had faulty solar panels. Linked to Shenzhen Fast Supply PV cell supplier issue. Customer very unhappy - third Shenzhen product returned this month by different customers.
RET-010,1380,129,Mechanical Keyboard,Electronics,10,CUST-0612,2025-03-10,2025-03-12,2025-03-18,Multiple keys registering double inputs,Product Defect,1,59.99,59.99,Original Payment,In-Store,Defective,RMA-2025-0010,Closed,19,Taiwan Precision Corp,Yes,Medium,3,7,6,No,Replacement,Switch debounce issue on Cherry MX Blue switches. Taiwan Precision Corp identified batch with out-of-spec springs. Replacement sent with verified batch. Supplier very responsive.
RET-011,1415,108,Vitamin D Supplements 120ct,Health & Wellness,4,CUST-0934,2025-03-15,2025-03-16,2025-03-18,Bottle seal broken on arrival,Shipping Damage,1,12.99,12.99,Original Payment,Online,Damaged,RMA-2025-0011,Closed,13,Rhine Chemicals AG,No,High,3,3,2,No,Full Refund + Replacement,Seal tamper-evident ring was cracked. Cannot resell. Rhine Chemicals packaging is fine - damage occurred in last-mile delivery. UPS claim filed. Customer received replacement next day.
RET-012,1450,126,Cast Iron Skillet 12in,Home & Kitchen,7,CUST-0089,2025-03-20,2025-03-22,2025-03-28,Seasoning flaking off on first use,Product Quality,1,39.99,39.99,Store Credit,In-Store,Used - Acceptable,RMA-2025-0012,Closed,8,MidWest Industrial,No,Low,4,7,6,No,Exchange,Pre-seasoning quality inconsistent in recent batch. Not a safety issue. Customer exchanged for new unit. MidWest Industrial notified - adjusting seasoning process temperature.
RET-013,1488,134,Wireless Earbuds Pro,Electronics,20,CUST-0367,2025-04-01,2025-04-05,2025-04-12,Left earbud not charging in case,Product Defect,1,49.99,49.99,Original Payment,Online,Defective,RMA-2025-0013,Closed,15,Seoul Electronics,Yes,Medium,3,7,7,No,Replacement,Charging pin misalignment in case. Seoul Electronics identified manufacturing tolerance issue. Fixed in subsequent production run. Replacement unit works perfectly.
RET-014,1520,113,Resistance Band Set,Sports & Fitness,14,CUST-0501,2025-04-05,2025-04-06,2025-04-10,Heavy band snapped during first use,Safety Issue,1,14.99,14.99,Original Payment,In-Store,Defective,RMA-2025-0014,Closed,7,Shenzhen Fast Supply,Yes,Critical,1,3,4,Yes,Full Refund + Safety Review,SAFETY CONCERN. Latex band failure could cause injury. Customer not hurt but filed complaint. All heavy bands from batch SFS-RB-2024-11 pulled. Shenzhen Fast Supply corrective action #5 - material strength testing required on all future batches.
RET-015,1555,120,Organic Honey 500g,Food & Beverage,9,CUST-0788,2025-04-10,2025-04-15,2025-04-18,Crystallization - customer thinks product is spoiled,Customer Misuse,1,14.99,0.00,None,Online,Used - Acceptable,RMA-2025-0015,Closed,10,Brisbane Materials,No,Low,4,7,3,No,No Refund - Education,Natural crystallization is normal for raw honey. Customer educated on gentle warming to restore liquid state. Offered 10% discount on next purchase. Product NOT defective.
RET-016,1590,105,LED Desk Lamp,Electronics,2,CUST-0045,2025-04-15,2025-04-20,2025-04-25,Flickering on highest brightness setting,Product Defect,1,39.99,39.99,Original Payment,Online,Defective,RMA-2025-0016,Closed,15,Seoul Electronics,Yes,Medium,3,7,5,No,Replacement,LED driver board voltage regulation issue at max brightness. Seoul Electronics pushed firmware fix for smart models. Non-smart models replaced. Good supplier response time.
RET-017,1625,104,Stainless Steel Water Bottle,Home & Kitchen,11,CUST-0234,2025-04-20,2025-04-22,2025-04-26,Dent on bottom - cosmetic damage,Shipping Damage,1,14.99,7.50,Store Credit,In-Store,Damaged - Cosmetic,RMA-2025-0017,Closed,2,EuroSupply GmbH,No,Low,4,7,4,No,Partial Refund,Minor dent - product fully functional. Customer accepted 50% store credit. Shipping damage from inadequate padding in outer box. EuroSupply packaging is fine - issue at distribution center packing station.
RET-018,1660,124,Smart LED Bulb 4pk,Electronics,16,CUST-0673,2025-05-01,2025-05-03,2025-05-08,WiFi connectivity drops every few hours,Product Defect,1,24.99,24.99,Original Payment,Online,Defective,RMA-2025-0018,Closed,15,Seoul Electronics,Yes,Medium,3,7,5,No,Replacement,WiFi module conflict with certain router firmware versions. Seoul Electronics released compatibility patch. Customer received updated units. Patch notes shared with all customers via email.
RET-019,1695,137,Silk Pillowcase Set,Home & Kitchen,5,CUST-0412,2025-05-05,2025-05-10,2025-05-15,Color fading after first gentle wash,Product Quality,1,24.99,24.99,Original Payment,Online,Used - Acceptable,RMA-2025-0019,Closed,4,Pacific Rim Trading,Yes,Medium,2,7,5,No,Full Refund,Dye fixing process inadequate. Pacific Rim Trading acknowledged - monsoon humidity during production affected dye cure times. New batch with extended curing process ordered.
RET-020,1730,106,Bamboo Cutting Board Set,Home & Kitchen,13,CUST-0156,2025-05-10,2025-05-12,null,Board cracked along grain after 2 weeks,Product Quality,1,19.99,19.99,Original Payment,In-Store,Defective,RMA-2025-0020,Processing,17,Vietnam Manufacturing,No,Medium,3,7,null,No,Replacement,Rare quality issue from otherwise excellent supplier. Vietnam Manufacturing requested photos for root cause analysis. Likely a wood drying issue in specific batch. Replacement being sent.
RET-021,1002,101,Wireless Bluetooth Headphones,Electronics,18,CUST-0821,2025-01-12,2025-01-20,2025-01-25,Audio cutting out during phone calls,Product Defect,1,29.99,29.99,Original Payment,Online,Defective,RMA-2025-0021,Closed,1,GlobalTech Components,Yes,High,2,7,5,No,Replacement,Same batch BT-2024-Q4 issue. Bluetooth 5.0 module defective. GlobalTech Components quality report confirms 12% failure rate. Customer received unit from new Q1 2025 batch.
RET-022,1078,119,Wireless Mouse,Electronics,8,CUST-0543,2025-01-25,2025-01-28,2025-02-02,Scroll wheel stopped working after 10 days,Product Defect,1,19.99,19.99,Original Payment,In-Store,Defective,RMA-2025-0022,Closed,19,Taiwan Precision Corp,Yes,Low,4,7,5,No,Replacement,Encoder wheel bearing failure. Isolated unit - not a batch issue. Taiwan Precision Corp replaced immediately from buffer stock. Their 4-week safety stock policy proved valuable here.
RET-023,1135,135,Organic Almond Butter,Food & Beverage,3,CUST-0290,2025-02-08,2025-02-08,2025-02-09,Received expired product - best by date passed,Fulfillment Error,1,15.99,15.99,Original Payment,In-Store,Expired,RMA-2025-0023,Closed,3,AmeriParts Inc.,No,Critical,1,3,1,No,Full Refund + Compensation,$5 additional store credit for inconvenience. FIFO rotation failure at Southeast Hub warehouse. Inventory management team notified. Not supplier fault - internal warehouse process issue.
RET-024,1168,145,Compression Socks 3pk,Sports & Fitness,21,CUST-0677,2025-02-12,2025-02-18,2025-02-22,Elastic band too tight - cuts circulation,Product Quality,2,14.99,29.98,Original Payment,Online,New - Unopened,RMA-2025-0024,Closed,11,Mumbai Textiles Ltd,Yes,Medium,3,7,4,No,Full Refund,Sizing inconsistency in Mumbai Textiles production run. Elastic tension 15% above spec. Supplier corrective action issued - calibrate elastic tension machines. Customer switched to competitor brand.
RET-025,1205,148,Probiotic Gummies 90ct,Health & Wellness,10,CUST-0834,2025-02-22,2025-02-25,2025-02-28,Gummies melted together in bottle,Shipping Damage,1,17.99,17.99,Original Payment,Online,Damaged,RMA-2025-0025,Closed,13,Rhine Chemicals AG,No,Medium,3,7,3,No,Full Refund + Replacement,Temperature excursion during last-mile delivery. Product left in hot delivery vehicle. Rhine Chemicals packaging includes temp indicator - showed 38C exposure. Carrier claim filed with USPS.
RET-026,1248,143,Laptop Stand Aluminum,Electronics,6,CUST-0199,2025-03-02,2025-03-08,2025-03-13,Wobbles on desk - uneven legs,Product Defect,1,34.99,34.99,Original Payment,In-Store,Defective,RMA-2025-0026,Closed,19,Taiwan Precision Corp,Yes,Low,4,7,5,No,Exchange,CNC machining tolerance off by 0.3mm on one leg. Taiwan Precision Corp QC adding leveling check to final inspection. Customer exchanged in-store same day. Minor issue quickly resolved.
RET-027,1290,149,Eco-Friendly Laundry Pods 60ct,Home & Kitchen,17,CUST-0456,2025-03-12,2025-03-14,2025-03-17,Pods not dissolving fully in cold water,Product Quality,1,21.99,21.99,Original Payment,Online,Used - Acceptable,RMA-2025-0027,Closed,6,Nordic Materials AS,Yes,Medium,3,7,3,No,Full Refund,PVA film dissolution rate slower in water below 15C. Nordic Materials AS adjusting formula for cold-water markets. Seasonal issue - more complaints in winter months. Reformulated product expected Q2 2025.
RET-028,1325,150,Portable Bluetooth Speaker,Electronics,24,CUST-0712,2025-03-18,2025-03-20,2025-03-25,Battery drains in 2 hours instead of advertised 8,Product Defect,1,39.99,39.99,Original Payment,Online,Defective,RMA-2025-0028,Closed,15,Seoul Electronics,Yes,High,2,7,5,No,Replacement,Battery cell capacity below spec. Seoul Electronics traced to specific lithium cell supplier lot. All speakers from that lot recalled for battery swap. Customer received updated unit with verified battery.
RET-029,1365,114,Ceramic Plant Pot Set,Home & Garden,4,CUST-0088,2025-03-25,2025-03-27,2025-04-01,Two pots arrived cracked,Shipping Damage,1,16.99,16.99,Original Payment,In-Store,Damaged,RMA-2025-0029,Closed,9,Istanbul Trade Co,No,Medium,3,7,5,No,Full Refund + Replacement,Inadequate inner packaging. Ceramic items need more bubble wrap. Istanbul Trade Co notified about packaging improvement. Carrier (DHL) also flagged for rough handling - multiple fragile stickers were on box.
RET-030,1400,103,Organic Coffee Beans 1kg,Food & Beverage,2,CUST-0955,2025-04-02,2025-04-08,2025-04-11,Stale taste - valve on bag was open,Shipping Damage,1,18.99,18.99,Original Payment,Online,Damaged,RMA-2025-0030,Closed,5,Andean Metals Corp,No,Low,4,7,3,No,Full Refund,One-way valve seal failure on bag. Not a supplier issue - damage during warehouse handling. Cold Storage North team reminded about careful handling of valve-sealed food products.
RET-031,1438,116,Portable Phone Charger 10000mAh,Electronics,25,CUST-0321,2025-04-08,2025-04-10,2025-04-15,Charger not reaching full capacity - stops at 60%,Product Defect,1,24.99,24.99,Original Payment,Online,Defective,RMA-2025-0031,Closed,15,Seoul Electronics,Yes,Medium,3,7,5,No,Replacement,Charge controller IC defect limiting max capacity. Seoul Electronics fixed in firmware update for smart chargers. Customer received replacement with updated firmware.
RET-032,1472,121,Desk Organizer Wooden,Office Supplies,15,CUST-0578,2025-04-12,2025-04-18,null,Wood grain rough - splinters when handling,Product Quality,1,21.99,21.99,Original Payment,In-Store,Defective,RMA-2025-0032,Processing,14,Canadian Lumber Co,Yes,Medium,3,7,null,No,Replacement,Sanding quality reduced due to wildfire recovery staffing shortages. Canadian Lumber Co acknowledged - temporary workers less experienced with finishing. Replacement from pre-fire inventory batch being located.
RET-033,1505,131,Collagen Powder 300g,Health & Wellness,9,CUST-0743,2025-04-18,2025-04-20,2025-04-23,Powder clumped into solid mass,Shipping Damage,1,27.99,27.99,Original Payment,Online,Damaged,RMA-2025-0033,Closed,13,Rhine Chemicals AG,No,Medium,3,7,3,No,Full Refund + Replacement,Moisture exposure during transit. Rhine Chemicals inner seal was intact - outer box got wet. Carrier DHL claim filed. Rhine Chemicals adding silica gel packs to future shipments as extra precaution.
RET-034,1540,128,Essential Oil Diffuser,Home & Garden,11,CUST-0165,2025-05-02,2025-05-05,2025-05-10,Mist output very weak - barely visible,Product Defect,1,29.99,29.99,Original Payment,Online,Defective,RMA-2025-0034,Closed,1,GlobalTech Components,Yes,Medium,3,7,5,No,Replacement,Ultrasonic disc degradation. GlobalTech Components identified a ceramic disc supplier quality issue. Disc material changed for next production run. Customer received replacement with upgraded disc.
RET-035,1575,140,Standing Desk Converter,Office Supplies,7,CUST-0492,2025-05-08,2025-05-12,2025-05-20,Gas spring not holding position - desk slowly sinks,Product Defect,1,129.99,129.99,Original Payment,In-Store,Defective,RMA-2025-0035,Closed,8,MidWest Industrial,Yes,High,2,7,8,Yes,Replacement,Gas spring pressure valve defective. MidWest Industrial sending replacement gas spring AND full unit. SLA breached by 1 day due to heavy item shipping time. Customer compensated with $15 credit. Supplier replacing all gas springs from batch MI-GS-2025-03.
RET-036,1610,111,Organic Green Tea 100bags,Food & Beverage,23,CUST-0637,2025-05-12,2025-05-15,2025-05-18,Tea bags have metallic taste,Product Quality,1,11.99,11.99,Original Payment,Online,Used - Acceptable,RMA-2025-0036,Closed,4,Pacific Rim Trading,Yes,Low,4,7,3,No,Full Refund,Staple in tea bag string leaching into water. Pacific Rim Trading switching to staple-free heat-sealed bags. Not a safety risk but taste affected. Limited complaints - 3 total this quarter.
RET-037,1645,146,Aromatherapy Candle Set,Home & Garden,14,CUST-0808,2025-05-15,2025-05-17,2025-05-20,Wick drowning - candle self-extinguishes after 10 min,Product Quality,1,19.99,19.99,Original Payment,In-Store,Used - Acceptable,RMA-2025-0037,Closed,9,Istanbul Trade Co,Yes,Low,4,7,3,No,Exchange,Wick sizing too small for new soy wax blend. Istanbul Trade Co testing larger wick diameter. Seasonal formula change caused mismatch. Exchange processed in-store.
RET-038,1680,123,Canvas Tote Bag,Apparel & Accessories,19,CUST-0374,2025-05-18,2025-05-20,2025-05-23,Stitching on handle unraveling,Product Defect,1,12.99,12.99,Original Payment,Online,Defective,RMA-2025-0038,Closed,11,Mumbai Textiles Ltd,Yes,Medium,3,7,3,No,Replacement,Thread tensioner on sewing machine was miscalibrated. Mumbai Textiles Ltd corrective action issued. Handle reinforcement added to design spec. Customer received improved version.
RET-039,1710,136,Adjustable Dumbbells Set,Sports & Fitness,1,CUST-0551,2025-05-22,2025-05-25,2025-06-02,Weight plate locking mechanism jams,Product Defect,1,99.99,99.99,Original Payment,In-Store,Defective,RMA-2025-0039,Closed,8,MidWest Industrial,Yes,High,2,7,8,Yes,Replacement,Locking pin tolerance too tight. MidWest Industrial expanding machining tolerance by 0.1mm. SLA breached by 1 day - heavy item required freight shipping for return. Customer received replacement. Second SLA breach from MidWest this quarter.
RET-040,1745,144,Dried Fruit Mix 1kg,Food & Beverage,6,CUST-0183,2025-05-25,2025-05-26,2025-05-28,Found foreign object - small piece of plastic in bag,Safety Issue,1,16.99,16.99,Original Payment,In-Store,Contaminated,RMA-2025-0040,Closed,16,Casablanca Imports,Yes,Critical,1,3,2,No,Full Refund + Investigation,SAFETY INCIDENT. Plastic fragment from packaging line. Casablanca Imports quality control failure. Entire batch quarantined. FDA notification prepared as precaution. Supplier issued formal warning - fifth quality/compliance issue this year. Supplier termination review initiated.
